"Ratchet &amp; Clank 3 (Europe, Australia) (En,Fr,De,Es,It).iso";"4464115712";"e8ca9b89";"c2319842fd6706cd9d1914071faccfd4";"5593eab45eac8814ce4b95fa1c23510fc0a21ebf"
"Gran Turismo 3 - A-Spec (USA) (v1.00).iso";"3878649856";"ae611d2e";"c69de9c89f817560bda42e7c9c744013";"e02aede3a21f1f5fda6eb596cc0fe571870567bc"
"Cold Fear (Europe) (En,Fr,De,Es,It).iso";"3583737856";"13dab851";"bfa66f36668dcbab0b7e3dfd0dc465ab";"7dd567d56b2efb843784fb5d58247d9b413fb266"
"Forgotten Realms - Demon Stone (Europe) (En,Fr,De,Es,It).iso";"3566927872";"6b2f0455";"566dcefd2d60aa4249e96211cc8947bd";"05d5843eacc78ebe9bab4ab2605ec176f03e1e7b"
"Jak 3 (Europe, Australia) (En,Fr,De,Es,It,Pt,Ru).iso";"4495736832";"8bbf28fb";"e6b6a3ed35db028a9a0d90101f0a17fd";"f8b1ed096628be006db4d098e6fe02b463e54e4e"
"Kessen III (Europe).iso";"5494538240";"070f0c01";"0f217bd447530a7352958aee7aeeec5a";"a61c72b8e956fca818cb52846125958d1e4788b9"
"Max Payne (Europe).iso";"4320493568";"c49c786a";"af0e7f7bf967c8e8d974ebb4033d51b7";"90bc19e8a3acdd6829540dc2daff24bf3a6dcd35"
"Ratchet &amp; Clank 2 (Europe, Australia) (En,Fr,De,Es,It).iso";"3548545024";"36ec8963";"e184fc2a495a4654f748a8e8c587261c";"5a64211823e62faf33c0e86f1ad4df962a028ed0"
"Shadow Hearts II (Europe, Australia) (En,Fr,De) (Disc 1).iso";"3891527680";"092942f6";"7acd3cbfffc85772769d5590cf403e19";"13fcbd58889032ab50104fd463ade912d2dd5a8c"
"Shadow Hearts II (Europe, Australia) (En,Fr,De) (Disc 2).iso";"4353163264";"2e0eb2d5";"ce79ed6dfc3b401c1d1472fa9bbc79c3";"afec7da261f5f860e9d558fec41efd028d5b9f1a"
"Disney's Treasure Planet (Europe) (En,Fr,De,Nl).iso";"2554527744";"8fb47e9b";"77c3cb8b6cb3f187677246c289d00a96";"5a2c93d81280b44cd4a538e566caa9f19ecdc081"
"Gran Turismo 3 - A-Spec (Europe, Australia) (En,Fr,De,Es,It) (v2.00).iso";"3687022592";"fa111523";"26a95962a62f996d7458ebea6fd8a8b1";"738dff896f37b00b911de1dcb18967cd4380e8f1"
"Tekken 4 (Europe) (En,Fr,De,Es,It) (v1.00).iso";"4476272640";"66e0d84a";"65df1ad58683aa5154966441a74fd8c2";"405e8bb5e5662e9ef683f1785851ea8f73b87e87"
"Stella Deus - The Gate of Eternity (USA).iso";"3748397056";"a36905ee";"1b3b422707ba9798eabce6779e1e55a6";"0c9cad15f8b57c306d4d35a3489700631808a208"
"Shin Megami Tensei - Digital Devil Saga (USA).iso";"4539547648";"e1567b57";"ae4330140ef56f9eb1c689b9bb383401";"f022cc27d2c333db64f1f1a46b312aafc5ce632e"
"Naruto - Narutimate Hero 3 (Japan).iso";"1492877312";"e9075766";"03be4efbcb4fe922ec5ef200ba46a6c6";"8ea6e4b3b35fb411fcd6366464a822657d23d5b9"
"Final Fantasy X (Europe) (Demo).iso";"762085376";"8f56f6d4";"79ecd6d05ffc4dde2d05677f47e319d3";"7f3cced27cc4d9ae6278f777d208b39ac6613df7"
"Xenosaga Episode II - Jenseits von Gut und Boese (Europe) (En,Fr,De) (Disc 1).iso";"4697587712";"ba13263f";"c447be23faf8cb36b52425377c7e2467";"bcf524d9ad1bb6ae0c53e7fc1fbaf07219713c55"
"Xenosaga Episode II - Jenseits von Gut und Boese (Europe) (En,Fr,De) (Disc 2).iso";"4694802432";"9ed848a2";"e0a22264c31ac87d0fcf8646f14e1ce7";"b74a7f1bc3ba5b384cad7e84007469a33825a8bd"
"God of War (Europe, Australia) (En,Fr,De,Es,It).iso";"8018624512";"a567869c";"6b8b8dd72f50b7264f7418b641591c11";"594611974693f011e38d42cb78cbdd0762e9e2f8"
"Final Fantasy X-2 (Europe, Australia).iso";"4076961792";"46fe9e96";"944d8f4aae93e817027b6e421426da1e";"dd70a73fdee48875372a98e3037bfd91b4d4ff8a"
"Breath of Fire - Dragon Quarter (Europe) (En,Fr,De,Es,It).iso";"2647851008";"ed41f743";"6f27ef9bf6e954260b270235f767a789";"8fd1fe95f4eb11c49d48976e2ba52c9422929769"
"Dark Chronicle (Europe) (En,Fr,De,Es,It).iso";"4692574208";"73f6fac7";"f6d5c3201e56cdc4f797150b5f78577e";"c2c2efaecb228be3b151895fb10942797dcc4941"
"Mortal Kombat - Deception (Europe, Australia) (En,Fr,De,Es,It).iso";"4696997888";"4c6525ed";"ddeae9398407431ed53081f8d7dba04b";"aecc6605fcf8431b758fc4d7f4f2f6ea2e6693a3"
"Soulcalibur II (Europe) (En,Fr,De,Es,It).iso";"4348575744";"1136a195";"0b474052584b451c755cc6d423fb5ef0";"7e6dcaba4bd2ddc21bb918630dcdd259e1a721f4"
"Mortal Kombat - Deadly Alliance (Europe, Australia) (En,Fr,De,Es,It).iso";"4689985536";"a2aaca7a";"062a5455d5f9c3a4059ecd926f19c60b";"d24ae84e34cd8c93e1b16a31021b7f46d832046c"
"Disgaea - Hour of Darkness (Europe).cue";"101";"02876c83";"8b3bc7f298f564d5801533de97bfeb64";"a5d42166ae606b3554cfa304481b2c5cf5d69816"
"Disgaea - Hour of Darkness (Europe).bin";"707568624";"2bfb8f75";"fa730b98e41dd0e4d8e33fb22510f9d1";"e947c4ceb6b32ac5e402a24ce682470c63e6d38e"
"Minority Report - Everybody Runs (Europe).iso";"1475706880";"f3ca66d6";"f3485d0a8b12be429ff352c9ceb76558";"0de971655ce5da1a9dfe5454199caa02a9256509"
"Devil May Cry (Europe) (En,Fr,De,Es,It).iso";"4698767360";"1e2cb571";"c9e2bbb6c39284e54d7627e84f1d2372";"a5f92efb772cbbd55f05a57d57b3db5ca4dc55b1"
"Medal of Honor - Frontline (Europe) (En,Es,It).iso";"3978690560";"4b8e5663";"e79f63598f32f67b3bc30f4dfd3ec663";"a287bbb28bb61b7da04e8e8d216744b8380d9eff"
"Dropship - United Peace Force (Europe, Australia) (En,Fr,De,Es,It).iso";"2050097152";"d5b8436b";"1fc1f00b005ba6e96307a870f1c1edb7";"2850ad0d096e862c96721d193257844700897bbe"
"Demo Disc (Europe) (En,Fr,De,Es,It) (v1.03).iso";"4691755008";"2beaed76";"f50a9731acda9ee6902770f53b331cc6";"2219b7391f14503ebbb31826a1f2a10b553e3b8a"
"EyeToy - Kinetic (Europe, Australia) (En,Fr,De,Es,It,Pt,No).iso";"4558159872";"396e40f5";"c08ce2d53b91ca4dfce0760374c5bacb";"193e2454d24f83044c1e532294d53a85768645da"
"Tekken 4 (Europe, Australia) (En,Fr,De,Es,It) (v2.00).iso";"4471390208";"34262aec";"1c2fbf905a3ce52cb9215b88c81daf9e";"aebd610ac623fdce9248563e14cceff9321017ba"
"Crimson Sea 2 (Europe).iso";"3786735616";"081e0eda";"c464c37e076b05cccc6b27acae2eef9d";"9574ba4b2614672a5c3cdae5665c96cdf3d20367"
"Official PlayStation 2 Magazine Demo 64 (Europe) (En,Fr,De,Es,It).iso";"3734863872";"598a64fc";"b16df5f26531e450698b4ef14bd51b02";"311d90e9f8b8cc8fdb513453baac0098ac525e56"
"Metal Gear Solid 2 - Sons of Liberty (Japan).iso";"4648140800";"85ba5e18";"fa759417f83449258e6d5fa17bd2c2e3";"6536dd2ac466332341c62cd442d744fce013f785"
"Metal Gear Solid 3 - Snake Eater (Japan) (Premium Package).iso";"4569563136";"c540a34a";"fc04969ebe3e7ca47a40ea8317d602e5";"f4f3b7036a3c06248d70030c95eb9414926625b3"
"Gran Turismo 4 (Europe, Australia) (En,Fr,De,Es,It).iso";"5660540928";"e1ca4d84";"5b504676595dea8b32cb675993285fca";"c9c7b8477b585d7f841fa204ba903bef08e083a3"
"Official PlayStation 2 Magazine Demo 71 (Europe) (En,Fr,De,Es,It).iso";"2994110464";"7c16a5d3";"8a098c7761654144c2826c86219ca013";"82640a5ffd937fcf73ca3a33439c0c6db3ebac87"
"Metal Gear Solid 2 - Substance (Europe) (En,Fr,De,Es,It).iso";"6313803776";"0333ed63";"1e3f915cda12db631973281121a02106";"351ae032e28d80ede1b2788822a147aad52ed46c"
"Xenosaga Episode I - Der Wille zur Macht (USA).iso";"8468299776";"3d9843e9";"542ecb80b46c710664d3c9eb1547692e";"a332b6fc32be58a20751049a2d78ef8a6ef83b2a"
"Jak II - Renegade (Europe, Australia) (En,Ja,Fr,De,Es,It,Ko).iso";"4410376192";"c0c0730d";"f55f3eb8a9a024c7d8f58f8f2e05fd15";"756f62b1392230f4b6c15d01e507af1763f2ec31"
"Resident Evil 4 (Germany) (En,Fr,De,Es,It).iso";"4441833472";"ab1d2eca";"228b1053184d3eb477a8f3f0b115bf57";"d74c1e9d0fa49648a59a28f1436825b1cf7dc2d0"
"Grandia II (Europe).iso";"1269268480";"24b39943";"090a6fe46fcb83bf105630e4bc9cb482";"451d4a1d9efc4a796deb41346b7bf950cfb74ede"
